Gene_Signature	Entrez_Gene_ID	Gene_Symbol	Signature_ID
1_B_Cell_EntrezID	3543	IGLL1	1
1_B_Cell_EntrezID	3566	IL4R	1
1_B_Cell_EntrezID	3636	INPPL1	1
1_B_Cell_EntrezID	3662	IRF4	1
1_B_Cell_EntrezID	3394	IRF8	1
1_B_Cell_EntrezID	3708	ITPR1	1
1_B_Cell_EntrezID	9767	JADE3	1
1_B_Cell_EntrezID	3512	JCHAIN	1
1_B_Cell_EntrezID	3728	JUP	1
1_B_Cell_EntrezID	23254	KAZN	1
1_B_Cell_EntrezID	23030	KDM4B	1
1_B_Cell_EntrezID	80183	KIAA0226L	1
1_B_Cell_EntrezID	10661	KLF1	1
1_B_Cell_EntrezID	57565	KLHL14	1
1_B_Cell_EntrezID	8942	KYNU	1
1_B_Cell_EntrezID	91133	L3MBTL4	1
1_B_Cell_EntrezID	25875	LETMD1	1
1_B_Cell_EntrezID	3965	LGALS9	1
1_B_Cell_EntrezID	10184	LHFPL2	1
1_B_Cell_EntrezID	283663	LINC00926	1
1_B_Cell_EntrezID	401252	LOC401252	1
1_B_Cell_EntrezID	440438	LOC440438	1
1_B_Cell_EntrezID	4687	LOC4687	1
1_B_Cell_EntrezID	644347	LOC644347	1
1_B_Cell_EntrezID	651961	LOC651961	1
1_B_Cell_EntrezID	4033	LRMP	1
1_B_Cell_EntrezID	9450	LY86	1
1_B_Cell_EntrezID	4067	LYN	1
1_B_Cell_EntrezID	1326	MAP3K8	1
1_B_Cell_EntrezID	4082	MARCKS	1
1_B_Cell_EntrezID	4208	MEF2C	1
1_B_Cell_EntrezID	92667	MGME1	1
1_B_Cell_EntrezID	4320	MMP11	1
1_B_Cell_EntrezID	79817	MOB3B	1
1_B_Cell_EntrezID	931	MS4A1	1
1_B_Cell_EntrezID	136319	MTPN	1
1_B_Cell_EntrezID	9788	MTSS1	1
1_B_Cell_EntrezID	4605	MYBL2	1
1_B_Cell_EntrezID	4643	MYO1E	1
1_B_Cell_EntrezID	51237	MZB1	1
1_B_Cell_EntrezID	80218	NAA50	1
1_B_Cell_EntrezID	4689	NCF4	1
1_B_Cell_EntrezID	4794	NFKBIE	1
1_B_Cell_EntrezID	348938	NIPAL4	1
1_B_Cell_EntrezID	4818	NKG7	1
1_B_Cell_EntrezID	7376	NR1H2	1
1_B_Cell_EntrezID	4927	NUP88	1
1_B_Cell_EntrezID	4953	ODC1	1
1_B_Cell_EntrezID	114884	OSBPL10	1
1_B_Cell_EntrezID	445815	PALM2-AKAP2	1
1_B_Cell_EntrezID	54625	PARP14	1
1_B_Cell_EntrezID	5095	PCCA	1
1_B_Cell_EntrezID	8682	PEA15	1
1_B_Cell_EntrezID	118788	PIK3AP1	1
1_B_Cell_EntrezID	5287	PIK3C2B	1
1_B_Cell_EntrezID	5336	PLCG2	1
1_B_Cell_EntrezID	79666	PLEKHF2	1
1_B_Cell_EntrezID	51177	PLEKHO1	1
1_B_Cell_EntrezID	5366	PMAIP1	1
1_B_Cell_EntrezID	56937	PMEPA1	1
1_B_Cell_EntrezID	57804	POLD4	1
1_B_Cell_EntrezID	5450	POU2AF1	1
1_B_Cell_EntrezID	5452	POU2F2	1
1_B_Cell_EntrezID	84513	PPAPDC1B	1
1_B_Cell_EntrezID	5547	PRCP	1
1_B_Cell_EntrezID	144165	PRICKLE1	1
1_B_Cell_EntrezID	5581	PRKCE	1
1_B_Cell_EntrezID	5664	PSEN2	1
1_B_Cell_EntrezID	150962	PUS10	1
1_B_Cell_EntrezID	27314	RAB30	1
1_B_Cell_EntrezID	57148	RALGAPB	1
1_B_Cell_EntrezID	55103	RALGPS2	1
1_B_Cell_EntrezID	23108	RAP1GAP2	1
1_B_Cell_EntrezID	27303	RBMS3	1
1_B_Cell_EntrezID	92241	RCSD1	1
1_B_Cell_EntrezID	5991	RFX3	1
1_B_Cell_EntrezID	5993	RFX5	1
1_B_Cell_EntrezID	6003	RGS13	1
1_B_Cell_EntrezID	23221	RHOBTB2	1
1_B_Cell_EntrezID	399	RHOH	1
1_B_Cell_EntrezID	6039	RNASE6	1
1_B_Cell_EntrezID	50862	RNF141	1
1_B_Cell_EntrezID	22800	RRAS2	1
1_B_Cell_EntrezID	54809	SAMD9	1
1_B_Cell_EntrezID	60485	SAV1	1
1_B_Cell_EntrezID	9805	SCRN1	1
1_B_Cell_EntrezID	23231	SEL1L3	1
1_B_Cell_EntrezID	10509	SEMA4B	1
1_B_Cell_EntrezID	5265	SERPINA1	1
1_B_Cell_EntrezID	26040	SETBP1	1
1_B_Cell_EntrezID	9467	SH3BP5	1
1_B_Cell_EntrezID	6472	SHMT2	1
1_B_Cell_EntrezID	51092	SIDT2	1
1_B_Cell_EntrezID	8935	SKAP2	1
1_B_Cell_EntrezID	6565	SLC15A2	1
1_B_Cell_EntrezID	6581	SLC22A3	1
1_B_Cell_EntrezID	6513	SLC2A1	1
1_B_Cell_EntrezID	6518	SLC2A5	1
1_B_Cell_EntrezID	4088	SMAD3	1
1_B_Cell_EntrezID	57228	SMAGP	1
1_B_Cell_EntrezID	79677	SMC6	1
1_B_Cell_EntrezID	29887	SNX10	1
1_B_Cell_EntrezID	6643	SNX2	1
1_B_Cell_EntrezID	440352	SNX29P2	1
1_B_Cell_EntrezID	11262	SP140	1
1_B_Cell_EntrezID	6689	SPIB	1
1_B_Cell_EntrezID	23380	SRGAP2	1
1_B_Cell_EntrezID	8082	SSPN	1
1_B_Cell_EntrezID	29101	SSU72	1
1_B_Cell_EntrezID	10734	STAG3	1
1_B_Cell_EntrezID	26228	STAP1	1
1_B_Cell_EntrezID	6778	STAT6	1
1_B_Cell_EntrezID	8417	STX7	1
1_B_Cell_EntrezID	25777	SUN2	1
1_B_Cell_EntrezID	23075	SWAP70	1
1_B_Cell_EntrezID	6850	SYK	1
1_B_Cell_EntrezID	9144	SYNGR2	1
1_B_Cell_EntrezID	6856	SYPL1	1
1_B_Cell_EntrezID	51760	SYT17	1
1_B_Cell_EntrezID	84447	SYVN1	1
1_B_Cell_EntrezID	6891	TAP2	1
1_B_Cell_EntrezID	23216	TBC1D1	1
1_B_Cell_EntrezID	8115	TCL1A	1
1_B_Cell_EntrezID	79600	TCTN1	1
1_B_Cell_EntrezID	8463	TEAD2	1
1_B_Cell_EntrezID	7942	TFEB	1
1_B_Cell_EntrezID	7096	TLR1	1
1_B_Cell_EntrezID	81793	TLR10	1
1_B_Cell_EntrezID	51284	TLR7	1
1_B_Cell_EntrezID	608	TNFRSF17	1
1_B_Cell_EntrezID	8784	TNFRSF18	1
1_B_Cell_EntrezID	64759	TNS3	1
1_B_Cell_EntrezID	7153	TOP2A	1
1_B_Cell_EntrezID	7163	TPD52	1
1_B_Cell_EntrezID	81844	TRIM56	1
1_B_Cell_EntrezID	7204	TRIO	1
1_B_Cell_EntrezID	10099	TSPAN3	1
1_B_Cell_EntrezID	6302	TSPAN31	1
1_B_Cell_EntrezID	340348	TSPAN33	1
1_B_Cell_EntrezID	57217	TTC7A	1
1_B_Cell_EntrezID	84617	TUBB6	1
1_B_Cell_EntrezID	51465	UBE2J1	1
1_B_Cell_EntrezID	51366	UBR5	1
1_B_Cell_EntrezID	7390	UROS	1
1_B_Cell_EntrezID	9712	USP6NL	1
1_B_Cell_EntrezID	7405	UVRAG	1
1_B_Cell_EntrezID	29802	VPREB3	1
1_B_Cell_EntrezID	55275	VPS53	1
1_B_Cell_EntrezID	55717	WDR11	1
1_B_Cell_EntrezID	89891	WDR34	1
1_B_Cell_EntrezID	51398	WDR83OS	1
1_B_Cell_EntrezID	7465	WEE1	1
1_B_Cell_EntrezID	7456	WIPF1	1
1_B_Cell_EntrezID	84186	ZCCHC7	1
1_B_Cell_EntrezID	7710	ZNF154	1
1_B_Cell_EntrezID	7756	ZNF207	1
1_B_Cell_EntrezID	55205	ZNF532	1
1_B_Cell_EntrezID	79699	ZYG11B	1
2_BCell_60gene_EntrezID	952	CD38	2
2_BCell_60gene_EntrezID	100290481	CYAT1	2
2_BCell_60gene_EntrezID	91316	GUSBP11	2
2_BCell_60gene_EntrezID	3492	IGH	2
2_BCell_60gene_EntrezID	3493	IGHA1	2
2_BCell_60gene_EntrezID	3494	IGHA2	2
2_BCell_60gene_EntrezID	3495	IGHD	2
2_BCell_60gene_EntrezID	3500	IGHG1	2
2_BCell_60gene_EntrezID	3501	IGHG2	2
2_BCell_60gene_EntrezID	3502	IGHG3	2
2_BCell_60gene_EntrezID	3503	IGHG4	2
2_BCell_60gene_EntrezID	3507	IGHM	2
2_BCell_60gene_EntrezID	28442	IGHV3-23	2
2_BCell_60gene_EntrezID	28396	IGHV4-31	2
2_BCell_60gene_EntrezID	50802	IGK	2
2_BCell_60gene_EntrezID	3514	IGKC	2
2_BCell_60gene_EntrezID	3537	IGLC1	2
2_BCell_60gene_EntrezID	28831	IGLJ3	2
2_BCell_60gene_EntrezID	91353	IGLL3P	2
2_BCell_60gene_EntrezID	100423062	IGLL5	2
2_BCell_60gene_EntrezID	28823	IGLV1-44	2
2_BCell_60gene_EntrezID	3512	JCHAIN	2
2_BCell_60gene_EntrezID	51237	MZB1	2
2_BCell_60gene_EntrezID	5450	POU2AF1	2
2_BCell_60gene_EntrezID	23231	SEL1L3	2
3_CD8_EntrezID	9289	ADGRG1	3
3_CD8_EntrezID	154	ADRB2	3
