Entrez_Gene_ID	Gene_Symbol
207	AKT1
815	CAMK2A
816	CAMK2B
817	CAMK2D
818	CAMK2G
834	CASP1
867	CBL
1051	CEBPB
1387	CREBBP
1399	CRKL
1612	DAPK1
2033	EP300
3458	IFNG
3459	IFNGR1
3553	IL1B
3659	IRF1
10379	IRF9
3716	JAK1
3717	JAK2
5604	MAP2K1
4214	MAP3K1
4296	MAP3K11
5594	MAPK1
5595	MAPK3
2475	MTOR
8554	PIAS1
51588	PIAS4
5290	PIK3CA
5295	PIK3R1
5580	PRKCD
80142	PTGES2
5781	PTPN11
5771	PTPN2
5906	RAP1A
5908	RAP1B
2889	RAPGEF1
4092	SMAD7
8651	SOCS1
6772	STAT1
6774	STAT3
